"Date","Name","Type","Moving Time","Distance (km)","Elevation Gain (m)","Avg Moving Speed (kph)","Avg Pace (/km)","Calories","Best 20min Speed (kph)","Best 20min Pace (/km)","Running Stress Score","Running Stress Score / h","Avg HR (bpm)","HRSS","HRSS / h","Best 20min HR (bpm)","Cadence Avg Moving (rpm or spm)","Avg Watts (w)","Avg Watts / Kilograms (w/kg)","Best 20min Power (w)","Power Stress Score","Power Stress Score / h","Athlete Settings","Delete"
"2019-06-16T21:00:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-06-18T10:59:46-04:00","Morning Ride","Ride","02:18:25","51.5","1258","22.3","02:41","1722","30.9","01:56","-","-","149","148","64","171","77","146","2.09","200","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-17T18:55:33-04:00","Afternoon Ride","Ride","01:19:43","30.1","678","22.7","02:38","744","33.2","01:48","-","-","84","6","5","84","78","142","2.02","201","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-16T09:31:28-04:00","Entrenamiento Bike Endurance","Ride","02:11:50","90.2","461","41.1","01:27","2191","45.9","01:18","-","-","168","213","97","176","90","365","5.21","432","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-15T12:12:31-04:00","Morning Ride","Ride","01:34:05","33.1","852","21.1","02:50","1142","30.9","01:56","-","-","148","98","63","168","72","141","2.01","203","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-14T11:26:22-04:00","Puris","Ride","02:17:38","50.5","1306","22","02:43","1600","28.9","02:04","-","-","145","135","59","172","76","152","2.17","213","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-09T09:40:06-04:00","Duatlón Cachí","Ride","00:54:38","29.1","412","31.9","01:52","962","35.3","01:41","-","-","175","102","112","181","88","194","2.77","217","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-08T14:04:02-04:00","Lunch Ride","Ride","00:59:27","20.1","488","20.3","02:57","837","23.3","02:34","-","-","155","73","74","165","73","131","1.87","171","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-05T22:00:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-06-07T10:40:08-04:00","Genghis Gan conoce Costa Rica","Ride","03:03:15","73.9","1986","24.2","02:28","2971","33","01:49","-","-","166","292","95","187","80","174","2.49","232","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-04T10:37:55-04:00","Morning Ride","Ride","01:19:37","40.1","388","30.3","01:58","929","32","01:52","-","-","143","69","52","152","91","168","2.4","191","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-03T11:55:20-04:00","Pilot","Ride","02:59:18","80.3","1077","26.9","02:13","2195","33.6","01:47","-","-","146","171","57","166","85","157","2.25","218","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-02T22:30:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-06-02T11:28:39-04:00","Lunch Ride","Ride","00:59:43","32.5","285","32.8","01:49","948","35.4","01:41","-","-","164","86","87","169","94","193","2.76","219","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-06-01T11:37:31-04:00","Lunch Ride","Ride","01:38:55","50.8","510","30.9","01:56","1353","34.2","01:45","-","-","152","107","65","158","90","168","2.4","200","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-31T11:16:32-04:00","Lunch Ride","Ride","01:57:06","60.6","546","31","01:56","1680","33.4","01:47","-","-","155","137","70","163","90","170","2.43","190","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-30T01:00:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-29T14:21:35-04:00","Afternoon Ride","Ride","01:18:58","40","371","30.3","01:58","1071","32.2","01:51","-","-","152","87","66","159","90","165","2.36","200","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-28T18:45:16-04:00","Dixie Classic Criterium Series","Ride","00:45:38","30","13","39.5","01:31","881","40.6","01:28","-","-","186","111","146","189","96","278","3.97","302","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-27T13:16:04-04:00","Afternoon Ride","Ride","02:02:43","56.1","665","26.7","02:14","1512","32.4","01:51","-","-","147","123","59","159","85","146","2.08","181","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-26T20:30:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-25T09:05:01-04:00","Pilot","Ride","03:02:11","80.3","1019","26.2","02:17","2126","31.8","01:53","-","-","143","164","53","166","84","142","2.03","209","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-24T13:39:29-04:00","Afternoon Ride","Ride","01:56:42","55.8","496","28.5","02:06","1576","31.2","01:55","-","-","151","125","63","160","-","143","2.04","158","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-22T09:47:31-04:00","Morning Ride","Ride","01:15:51","40.2","379","31.8","01:53","1115","33.7","01:46","-","-","157","91","72","162","92","185","2.64","216","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-22T09:30:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-21T14:44:31-04:00","Afternoon Ride","Ride","01:54:17","56.3","668","29.6","02:01","1688","33.2","01:48","-","-","157","142","75","165","90","167","2.39","193","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-20T17:40:28-04:00","Afternoon Ride","Ride","01:00:08","31.7","238","30.9","01:56","885","35.1","01:42","-","-","156","75","73","165","90","175","2.5","202","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-20T01:00:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-18T09:47:49-04:00","Pilot","Ride","02:53:37","80.3","1036","27.7","02:10","2437","32.7","01:50","-","-","155","207","71","174","86","159","2.28","217","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-17T15:25:06-04:00","Afternoon Ride","Ride","01:00:10","32.2","292","31.5","01:54","994","34.8","01:43","-","-","168","100","98","174","93","190","2.71","223","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-16T01:00:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-15T13:17:40-04:00","Afternoon Ride","Ride","01:16:45","40.5","393","31.5","01:54","1073","33","01:49","-","-","154","86","67","163","93","176","2.51","202","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-14T18:45:01-04:00","Dixie Classic Criterium Series","Ride","00:43:55","28.7","0","39.2","01:31","775","39.7","01:30","-","-","175","82","112","177","95","273","3.9","281","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-13T13:57:28-04:00","Afternoon Ride","Ride","01:54:48","55.6","714","29","02:04","1642","32.2","01:51","-","-","155","134","70","165","89","169","2.42","189","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
"2019-05-12T20:30:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Weight 70kg.",""
"2019-05-12T16:02:41-04:00","Rotando","Ride","01:13:12","40.3","383","33.1","01:48","1202","34.4","01:44","-","-","167","112","92","174","93","197","2.81","215","-","0","MaxHr 190bpm. RestHr 65bpm. Weight 70kg.",""
