Date,Name,Type,Moving Time,Distance (km),Elevation Gain (m),Avg Moving Speed (kph),Avg Pace (/km),Calories,Best 20min Speed (kph),Best 20min Pace (/km),Running Stress Score,Running Stress Score / h,Avg HR (bpm),HRSS,HRSS / h,Best 20min HR (bpm),Cadence Avg Moving (rpm or spm),Avg Watts (w),Avg Watts / Kilograms (w/kg),Best 20min Power (w),Power Stress Score,Power Stress Score / h,Athlete Settings,Delete
2018-06-28T08:53:36-04:00,Morning Ride,Ride,1:23:56,27.3,638.8,19.5,3:05,908,29.9,2:00,-,-,146,83,59,163,67,105,1.5,179,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-30T10:12:14-04:00,Fondo a Grecia,Ride,4:37:45,101.2,1611.3,21.8,2:44,3102,27.7,2:10,-,-,156,347,75,170,70,112,1.6,162,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-01T12:58:34-04:00,Morning Ride,Ride,1:19:17,27.4,632.6,20.7,2:53,1036,31,1:56,-,-,158,104,78,173,70,111,1.58,195,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-03T08:35:36-04:00,Morning Ride,Ride,1:11:33,27.1,631.1,22.7,2:38,1007,33.5,1:47,-,-,163,103,87,174,76,136,1.95,210,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-06-05T22:00:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-05T08:46:41-04:00,Morning Ride,Ride,1:18:37,27.2,633.9,20.7,2:53,969,30.4,1:58,-,-,155,95,73,169,69,118,1.68,194,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-07T11:33:00-04:00,Morning Ride,Ride,2:23:15,50.7,1131.9,21.2,2:49,1579,30.4,1:58,-,-,151,160,67,169,70,124,1.77,190,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-08T09:43:57-04:00,Morning Ride,Ride,2:16:46,50.8,1126.4,22.2,2:41,1700,30.7,1:57,-,-,161,190,83,178,71,132,1.88,209,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-06-02T22:30:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-10T08:49:54-04:00,Morning Ride,Ride,1:17:34,27.3,631.1,21,2:51,950,30.8,1:56,-,-,156,99,76,175,72,113,1.62,199,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-12T08:49:04-04:00,Morning Ride,Ride,1:14:31,27.3,632.6,21.9,2:44,939,31.2,1:55,-,-,157,96,78,174,72,124,1.78,207,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-14T11:33:39-04:00,Grifo Alto,Ride,3:24:18,73.2,1896.4,21.5,2:47,2423,31.3,1:55,-,-,157,263,77,177,69,139,1.99,213,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-30T01:00:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-15T13:45:00-04:00,Lunch Ride,Ride,1:14:28,27.1,628.8,21.8,2:45,977,30.2,1:59,-,-,161,109,88,181,73,129,1.84,218,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-17T08:50:14-04:00,Morning Ride,Ride,1:15:22,27,631.1,21.5,2:47,925,31.2,1:55,-,-,155,93,74,173,70,121,1.73,203,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-19T08:46:17-04:00,Morning Ride,Ride,1:09:28,27.1,628.4,23.4,2:34,998,33,1:49,-,-,167,112,97,181,74,138,1.97,215,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-26T20:30:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-21T10:58:01-04:00,Grifo Alto,Ride,3:29:30,75.1,1921.7,21.4,2:48,2437,30.7,1:57,-,-,155,264,75,173,70,138,1.98,218,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-22T11:37:55-04:00,Morning Ride,Ride,1:15:04,27.3,635.9,21.8,2:45,929,31.3,1:55,-,-,157,98,78,174,72,127,1.81,211,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-24T08:46:12-04:00,Morning Ride,Ride,1:14:51,27.2,632.8,21.7,2:45,913,31.2,1:55,-,-,155,94,76,173,71,125,1.78,209,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-22T09:30:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-26T08:39:00-04:00,Morning Ride,Ride,1:19:37,27.5,635.9,20.7,2:54,919,30.3,1:58,-,-,149,86,65,168,68,117,1.68,203,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-28T10:48:58-04:00,Fondo a Grecia,Ride,3:55:51,101.5,1583,25.7,2:19,2999,30.9,1:56,-,-,161,326,83,175,77,147,2.09,204,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-20T01:00:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-07-29T10:46:50-04:00,Morning Ride,Ride,1:33:48,33.1,785,21.1,2:50,1176,31.3,1:55,-,-,155,114,73,173,73,116,1.66,210,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-07-31T08:57:04-04:00,Morning Ride,Ride,1:15:06,27.6,637.4,22,2:43,979,31.6,1:53,-,-,159,102,82,178,74,126,1.79,216,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-16T01:00:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-08-02T12:52:14-04:00,Morning Ride,Ride,2:12:24,50.8,1126.4,23,2:36,1642,32.2,1:51,-,-,160,184,83,177,75,138,1.97,210,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-08-03T13:44:51-04:00,Eólicas,Ride,3:07:13,44.3,1460.3,12.2,4:54,1723,24.3,2:28,-,-,143,198,54,162,63,102,1.45,171,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-08-04T13:22:03-04:00,Problemas técnicos,Ride,0:07:02,1.4,21.1,10.3,5:48,48,-,-,-,-,118,3,25,-,47,60,0.85,-,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-05-12T20:30:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-08-05T18:49:44-04:00,Afternoon Ride,Ride,1:09:54,27.2,625.1,23.3,2:34,850,32.4,1:51,-,-,161,101,87,179,78,142,2.04,228,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
